fecha_operacion,intervalo,hora,fecha_hora,codigo,serie,comparacion,mw
2026-06-18,1,00:15,2026-06-18 00:15:00,PREV,Previsto,Actual,1142.92
2026-06-18,2,00:30,2026-06-18 00:30:00,PREV,Previsto,Actual,1142.92
2026-06-18,3,00:45,2026-06-18 00:45:00,PREV,Previsto,Actual,1142.92
2026-06-18,4,01:00,2026-06-18 01:00:00,PREV,Previsto,Actual,1083.27
2026-06-18,5,01:15,2026-06-18 01:15:00,PREV,Previsto,Actual,1083.27
2026-06-18,6,01:30,2026-06-18 01:30:00,PREV,Previsto,Actual,1083.27
2026-06-18,7,01:45,2026-06-18 01:45:00,PREV,Previsto,Actual,1083.27
2026-06-18,8,02:00,2026-06-18 02:00:00,PREV,Previsto,Actual,1038.54
2026-06-18,9,02:15,2026-06-18 02:15:00,PREV,Previsto,Actual,1038.54
2026-06-18,10,02:30,2026-06-18 02:30:00,PREV,Previsto,Actual,1038.54
2026-06-18,11,02:45,2026-06-18 02:45:00,PREV,Previsto,Actual,1038.54
2026-06-18,12,03:00,2026-06-18 03:00:00,PREV,Previsto,Actual,1009.26
2026-06-18,13,03:15,2026-06-18 03:15:00,PREV,Previsto,Actual,1009.26
2026-06-18,14,03:30,2026-06-18 03:30:00,PREV,Previsto,Actual,1009.26
2026-06-18,15,03:45,2026-06-18 03:45:00,PREV,Previsto,Actual,1009.26
2026-06-18,16,04:00,2026-06-18 04:00:00,PREV,Previsto,Actual,1001.65
2026-06-18,17,04:15,2026-06-18 04:15:00,PREV,Previsto,Actual,1001.65
2026-06-18,18,04:30,2026-06-18 04:30:00,PREV,Previsto,Actual,1001.65
2026-06-18,19,04:45,2026-06-18 04:45:00,PREV,Previsto,Actual,1001.65
2026-06-18,20,05:00,2026-06-18 05:00:00,PREV,Previsto,Actual,1020.67
2026-06-18,21,05:15,2026-06-18 05:15:00,PREV,Previsto,Actual,1020.67
2026-06-18,22,05:30,2026-06-18 05:30:00,PREV,Previsto,Actual,1020.67
2026-06-18,23,05:45,2026-06-18 05:45:00,PREV,Previsto,Actual,1020.67
2026-06-18,24,06:00,2026-06-18 06:00:00,PREV,Previsto,Actual,1085.3
2026-06-18,25,06:15,2026-06-18 06:15:00,PREV,Previsto,Actual,1085.3
2026-06-18,26,06:30,2026-06-18 06:30:00,PREV,Previsto,Actual,1085.3
2026-06-18,27,06:45,2026-06-18 06:45:00,PREV,Previsto,Actual,1085.3
2026-06-18,28,07:00,2026-06-18 07:00:00,PREV,Previsto,Actual,1153.5
2026-06-18,29,07:15,2026-06-18 07:15:00,PREV,Previsto,Actual,1153.5
2026-06-18,30,07:30,2026-06-18 07:30:00,PREV,Previsto,Actual,1153.5
2026-06-18,31,07:45,2026-06-18 07:45:00,PREV,Previsto,Actual,1153.5
2026-06-18,32,08:00,2026-06-18 08:00:00,PREV,Previsto,Actual,1189.72
2026-06-18,33,08:15,2026-06-18 08:15:00,PREV,Previsto,Actual,1189.72
2026-06-18,34,08:30,2026-06-18 08:30:00,PREV,Previsto,Actual,1189.72
2026-06-18,35,08:45,2026-06-18 08:45:00,PREV,Previsto,Actual,1189.72
2026-06-18,36,09:00,2026-06-18 09:00:00,PREV,Previsto,Actual,1284.64
2026-06-18,37,09:15,2026-06-18 09:15:00,PREV,Previsto,Actual,1284.64
2026-06-18,38,09:30,2026-06-18 09:30:00,PREV,Previsto,Actual,1284.64
2026-06-18,39,09:45,2026-06-18 09:45:00,PREV,Previsto,Actual,1284.64
2026-06-18,40,10:00,2026-06-18 10:00:00,PREV,Previsto,Actual,1329.59
2026-06-18,41,10:15,2026-06-18 10:15:00,PREV,Previsto,Actual,1329.59
2026-06-18,42,10:30,2026-06-18 10:30:00,PREV,Previsto,Actual,1329.59
2026-06-18,43,10:45,2026-06-18 10:45:00,PREV,Previsto,Actual,1329.59
2026-06-18,44,11:00,2026-06-18 11:00:00,PREV,Previsto,Actual,1360.12
2026-06-18,45,11:15,2026-06-18 11:15:00,PREV,Previsto,Actual,1360.12
2026-06-18,46,11:30,2026-06-18 11:30:00,PREV,Previsto,Actual,1360.12
2026-06-18,47,11:45,2026-06-18 11:45:00,PREV,Previsto,Actual,1360.12
2026-06-18,48,12:00,2026-06-18 12:00:00,PREV,Previsto,Actual,1366.21
2026-06-18,49,12:15,2026-06-18 12:15:00,PREV,Previsto,Actual,1366.21
2026-06-18,50,12:30,2026-06-18 12:30:00,PREV,Previsto,Actual,1366.21
2026-06-18,51,12:45,2026-06-18 12:45:00,PREV,Previsto,Actual,1366.21
2026-06-18,52,13:00,2026-06-18 13:00:00,PREV,Previsto,Actual,1340.82
2026-06-18,53,13:15,2026-06-18 13:15:00,PREV,Previsto,Actual,1340.82
2026-06-18,54,13:30,2026-06-18 13:30:00,PREV,Previsto,Actual,1340.82
2026-06-18,55,13:45,2026-06-18 13:45:00,PREV,Previsto,Actual,1340.82
2026-06-18,56,14:00,2026-06-18 14:00:00,PREV,Previsto,Actual,1373.33
2026-06-18,57,14:15,2026-06-18 14:15:00,PREV,Previsto,Actual,1373.33
2026-06-18,58,14:30,2026-06-18 14:30:00,PREV,Previsto,Actual,1373.33
2026-06-18,59,14:45,2026-06-18 14:45:00,PREV,Previsto,Actual,1373.33
2026-06-18,60,15:00,2026-06-18 15:00:00,PREV,Previsto,Actual,1408.27
2026-06-18,61,15:15,2026-06-18 15:15:00,PREV,Previsto,Actual,1408.27
2026-06-18,62,15:30,2026-06-18 15:30:00,PREV,Previsto,Actual,1408.27
