fecha_hora_original,fecha_hora_bolivia,fecha,hora,hz,estado_rango
2026-06-18T10:37:28Z,2026-06-18T10:37:28-04:00,18/06/2026,10:37:28,50.047,Normal
2026-06-18T10:37:29Z,2026-06-18T10:37:29-04:00,18/06/2026,10:37:29,50.043,Normal
2026-06-18T10:37:30Z,2026-06-18T10:37:30-04:00,18/06/2026,10:37:30,50.04,Normal
2026-06-18T10:37:31Z,2026-06-18T10:37:31-04:00,18/06/2026,10:37:31,50.031,Normal
2026-06-18T10:37:32Z,2026-06-18T10:37:32-04:00,18/06/2026,10:37:32,50.027,Normal
2026-06-18T10:37:33Z,2026-06-18T10:37:33-04:00,18/06/2026,10:37:33,50.027,Normal
2026-06-18T10:37:34Z,2026-06-18T10:37:34-04:00,18/06/2026,10:37:34,50.028,Normal
2026-06-18T10:37:35Z,2026-06-18T10:37:35-04:00,18/06/2026,10:37:35,50.031,Normal
2026-06-18T10:37:36Z,2026-06-18T10:37:36-04:00,18/06/2026,10:37:36,50.036,Normal
2026-06-18T10:37:37Z,2026-06-18T10:37:37-04:00,18/06/2026,10:37:37,50.038,Normal
2026-06-18T10:37:38Z,2026-06-18T10:37:38-04:00,18/06/2026,10:37:38,50.036,Normal
2026-06-18T10:37:39Z,2026-06-18T10:37:39-04:00,18/06/2026,10:37:39,50.038,Normal
2026-06-18T10:37:40Z,2026-06-18T10:37:40-04:00,18/06/2026,10:37:40,50.041,Normal
2026-06-18T10:37:41Z,2026-06-18T10:37:41-04:00,18/06/2026,10:37:41,50.037,Normal
2026-06-18T10:37:42Z,2026-06-18T10:37:42-04:00,18/06/2026,10:37:42,50.034,Normal
2026-06-18T10:37:43Z,2026-06-18T10:37:43-04:00,18/06/2026,10:37:43,50.031,Normal
2026-06-18T10:37:44Z,2026-06-18T10:37:44-04:00,18/06/2026,10:37:44,50.025,Normal
2026-06-18T10:37:45Z,2026-06-18T10:37:45-04:00,18/06/2026,10:37:45,50.019,Normal
2026-06-18T10:37:46Z,2026-06-18T10:37:46-04:00,18/06/2026,10:37:46,50.014,Normal
2026-06-18T10:37:47Z,2026-06-18T10:37:47-04:00,18/06/2026,10:37:47,50.001,Normal
2026-06-18T10:37:48Z,2026-06-18T10:37:48-04:00,18/06/2026,10:37:48,49.98,Normal
2026-06-18T10:37:49Z,2026-06-18T10:37:49-04:00,18/06/2026,10:37:49,49.971,Normal
2026-06-18T10:37:50Z,2026-06-18T10:37:50-04:00,18/06/2026,10:37:50,49.96,Normal
2026-06-18T10:37:51Z,2026-06-18T10:37:51-04:00,18/06/2026,10:37:51,49.942,Normal
2026-06-18T10:37:52Z,2026-06-18T10:37:52-04:00,18/06/2026,10:37:52,49.92,Normal
2026-06-18T10:37:53Z,2026-06-18T10:37:53-04:00,18/06/2026,10:37:53,49.9,Normal
2026-06-18T10:37:54Z,2026-06-18T10:37:54-04:00,18/06/2026,10:37:54,49.891,Normal
2026-06-18T10:37:55Z,2026-06-18T10:37:55-04:00,18/06/2026,10:37:55,49.893,Normal
2026-06-18T10:37:56Z,2026-06-18T10:37:56-04:00,18/06/2026,10:37:56,49.907,Normal
2026-06-18T10:37:57Z,2026-06-18T10:37:57-04:00,18/06/2026,10:37:57,49.916,Normal
2026-06-18T10:37:58Z,2026-06-18T10:37:58-04:00,18/06/2026,10:37:58,49.923,Normal
2026-06-18T10:37:59Z,2026-06-18T10:37:59-04:00,18/06/2026,10:37:59,49.926,Normal
2026-06-18T10:38:00Z,2026-06-18T10:38:00-04:00,18/06/2026,10:38:00,49.926,Normal
2026-06-18T10:38:01Z,2026-06-18T10:38:01-04:00,18/06/2026,10:38:01,49.924,Normal
2026-06-18T10:38:02Z,2026-06-18T10:38:02-04:00,18/06/2026,10:38:02,49.921,Normal
2026-06-18T10:38:03Z,2026-06-18T10:38:03-04:00,18/06/2026,10:38:03,49.92,Normal
2026-06-18T10:38:04Z,2026-06-18T10:38:04-04:00,18/06/2026,10:38:04,49.919,Normal
2026-06-18T10:38:05Z,2026-06-18T10:38:05-04:00,18/06/2026,10:38:05,49.917,Normal
2026-06-18T10:38:06Z,2026-06-18T10:38:06-04:00,18/06/2026,10:38:06,49.914,Normal
2026-06-18T10:38:07Z,2026-06-18T10:38:07-04:00,18/06/2026,10:38:07,49.916,Normal
2026-06-18T10:38:08Z,2026-06-18T10:38:08-04:00,18/06/2026,10:38:08,49.921,Normal
2026-06-18T10:38:09Z,2026-06-18T10:38:09-04:00,18/06/2026,10:38:09,49.922,Normal
2026-06-18T10:38:10Z,2026-06-18T10:38:10-04:00,18/06/2026,10:38:10,49.923,Normal
2026-06-18T10:38:11Z,2026-06-18T10:38:11-04:00,18/06/2026,10:38:11,49.928,Normal
2026-06-18T10:38:12Z,2026-06-18T10:38:12-04:00,18/06/2026,10:38:12,49.934,Normal
2026-06-18T10:38:13Z,2026-06-18T10:38:13-04:00,18/06/2026,10:38:13,49.939,Normal
2026-06-18T10:38:14Z,2026-06-18T10:38:14-04:00,18/06/2026,10:38:14,49.941,Normal
2026-06-18T10:38:15Z,2026-06-18T10:38:15-04:00,18/06/2026,10:38:15,49.94,Normal
2026-06-18T10:38:16Z,2026-06-18T10:38:16-04:00,18/06/2026,10:38:16,49.94,Normal
2026-06-18T10:38:17Z,2026-06-18T10:38:17-04:00,18/06/2026,10:38:17,49.943,Normal
2026-06-18T10:38:18Z,2026-06-18T10:38:18-04:00,18/06/2026,10:38:18,49.94,Normal
2026-06-18T10:38:19Z,2026-06-18T10:38:19-04:00,18/06/2026,10:38:19,49.938,Normal
2026-06-18T10:38:20Z,2026-06-18T10:38:20-04:00,18/06/2026,10:38:20,49.938,Normal
2026-06-18T10:38:21Z,2026-06-18T10:38:21-04:00,18/06/2026,10:38:21,49.941,Normal
2026-06-18T10:38:22Z,2026-06-18T10:38:22-04:00,18/06/2026,10:38:22,49.945,Normal
2026-06-18T10:38:23Z,2026-06-18T10:38:23-04:00,18/06/2026,10:38:23,49.954,Normal
2026-06-18T10:38:25Z,2026-06-18T10:38:25-04:00,18/06/2026,10:38:25,49.96,Normal
2026-06-18T10:38:26Z,2026-06-18T10:38:26-04:00,18/06/2026,10:38:26,49.963,Normal
2026-06-18T10:38:27Z,2026-06-18T10:38:27-04:00,18/06/2026,10:38:27,49.965,Normal
2026-06-18T10:38:28Z,2026-06-18T10:38:28-04:00,18/06/2026,10:38:28,49.963,Normal
2026-06-18T10:38:29Z,2026-06-18T10:38:29-04:00,18/06/2026,10:38:29,49.96,Normal
2026-06-18T10:38:30Z,2026-06-18T10:38:30-04:00,18/06/2026,10:38:30,49.956,Normal
2026-06-18T10:38:31Z,2026-06-18T10:38:31-04:00,18/06/2026,10:38:31,49.951,Normal
2026-06-18T10:38:32Z,2026-06-18T10:38:32-04:00,18/06/2026,10:38:32,49.944,Normal
2026-06-18T10:38:33Z,2026-06-18T10:38:33-04:00,18/06/2026,10:38:33,49.941,Normal
2026-06-18T10:38:34Z,2026-06-18T10:38:34-04:00,18/06/2026,10:38:34,49.943,Normal
2026-06-18T10:38:35Z,2026-06-18T10:38:35-04:00,18/06/2026,10:38:35,49.949,Normal
2026-06-18T10:38:36Z,2026-06-18T10:38:36-04:00,18/06/2026,10:38:36,49.956,Normal
2026-06-18T10:38:37Z,2026-06-18T10:38:37-04:00,18/06/2026,10:38:37,49.965,Normal
2026-06-18T10:38:38Z,2026-06-18T10:38:38-04:00,18/06/2026,10:38:38,49.975,Normal
2026-06-18T10:38:39Z,2026-06-18T10:38:39-04:00,18/06/2026,10:38:39,49.986,Normal
2026-06-18T10:38:40Z,2026-06-18T10:38:40-04:00,18/06/2026,10:38:40,49.999,Normal
2026-06-18T10:38:41Z,2026-06-18T10:38:41-04:00,18/06/2026,10:38:41,50.016,Normal
2026-06-18T10:38:42Z,2026-06-18T10:38:42-04:00,18/06/2026,10:38:42,50.032,Normal
2026-06-18T10:38:44Z,2026-06-18T10:38:44-04:00,18/06/2026,10:38:44,50.06,Normal
2026-06-18T10:38:45Z,2026-06-18T10:38:45-04:00,18/06/2026,10:38:45,50.072,Normal
2026-06-18T10:38:46Z,2026-06-18T10:38:46-04:00,18/06/2026,10:38:46,50.079,Normal
2026-06-18T10:38:47Z,2026-06-18T10:38:47-04:00,18/06/2026,10:38:47,50.078,Normal
2026-06-18T10:38:48Z,2026-06-18T10:38:48-04:00,18/06/2026,10:38:48,50.074,Normal
